__time,joint1_position,joint2_position,joint3_position,joint4_position,joint5_position,joint6_position
1664545414.81056,0.183306,1.792163,0.579694,1.033903,0.705631,-0.809942
1664545414.83066,0.199612,1.790734,0.582075,1.023165,0.719437,-0.79767
1664545414.8505,0.215752,1.789362,0.584466,1.017029,0.733243,-0.786932
1664545414.87059,0.231851,1.787965,0.586816,1.010893,0.748583,-0.773126
1664545414.8907,0.247846,1.78658,0.589197,1.003223,0.760854,-0.762388
1664545414.91057,0.263706,1.785208,0.591579,0.995554,0.77466,-0.751651
1664545414.93062,0.279308,1.783824,0.593887,0.987884,0.788466,-0.740913
1664545414.95036,0.294702,1.782464,0.596113,0.983282,0.802272,-0.728641
1664545414.97072,0.309828,1.781079,0.598329,0.97868,0.816078,-0.717903
1664545414.991,0.324798,1.779757,0.600534,0.97101,0.829884,-0.707165
1664545415.01082,0.33953,1.778392,0.602697,0.961806,0.842155,-0.697961
1664545415.03064,0.353941,1.777045,0.60483,0.957204,0.854427,-0.687223
1664545415.05066,0.368124,1.775748,0.606973,0.954136,0.865165,-0.67802
1664545415.07081,0.382173,1.774457,0.609085,0.949534,0.877437,-0.668816
1664545415.09084,0.396025,1.773198,0.611156,0.94033,0.888175,-0.658078
1664545415.11065,0.409711,1.771926,0.613143,0.934194,0.898913,-0.648874
1664545415.1306,0.423191,1.770685,0.615142,0.931126,0.909651,-0.63967
1664545415.15096,0.436401,1.769457,0.61714,0.926524,0.920389,-0.630466
1664545415.17084,0.449331,1.768292,0.619044,0.921923,0.929592,-0.62433
1664545415.1907,0.462003,1.767133,0.62096,0.917321,0.94033,-0.61666
1664545415.21087,0.473754,1.765986,0.622823,0.912719,0.948,-0.60899
1664545415.23081,0.486467,1.764821,0.624625,0.909651,0.95567,-0.604388
1664545415.25071,0.498331,1.763725,0.626447,0.906583,0.96334,-0.599787
1664545415.27086,0.509202,1.762635,0.628217,0.903515,0.967942,-0.593651
1664545415.29055,0.520341,1.761588,0.629998,0.900447,0.974078,-0.589049
1664545415.31076,0.531129,1.760548,0.631716,0.897379,0.980214,-0.582913
1664545415.33062,0.541626,1.759546,0.633445,0.894311,0.98635,-0.579845
1664545415.35085,0.551845,1.75855,0.635071,0.891243,0.992486,-0.573709
1664545415.37088,0.561721,1.75761,0.636655,0.888175,0.998622,-0.570641
1664545415.39055,0.571287,1.756701,0.638197,0.886641,1.001689,-0.566039
1664545415.4107,0.580543,1.755812,0.639667,0.883573,1.007825,-0.561437
1664545415.43079,0.589384,1.754972,0.641137,0.882039,1.012427,-0.558369
1664545415.45077,0.597873,1.754145,0.642535,0.880505,1.018563,-0.553767
1664545415.47096,0.60601,1.753331,0.643964,0.877437,1.021631,-0.549165
1664545415.49119,0.613734,1.75256,0.645392,0.875903,1.026233,-0.547631
1664545415.5108,0.621157,1.751739,0.646676,0.874369,1.029301,-0.544563
1664545415.53078,0.628227,1.750931,0.647939,0.872835,1.030835,-0.543029
1664545415.55102,0.634967,1.750229,0.649213,0.871301,1.033903,-0.541495
1664545415.5705,0.641375,1.749528,0.6503,0.871301,1.035437,-0.539961
1664545415.59113,0.647473,1.748801,0.651418,0.869767,1.036971,-0.538427
1664545415.61048,0.653188,1.748168,0.652536,0.869767,1.038505,-0.536893
1664545415.63098,0.658489,1.74756,0.653561,0.868233,1.038505,-0.536893
1664545415.65107,0.663386,1.746896,0.654565,0.868233,1.038505,-0.535359
1664545415.67099,0.667889,1.746345,0.655517,0.868233,1.040039,-0.536893
